标题,原价,销量,店名,id,卖点,颜色,评论,销量_数字
华为（HUAWEI）智选畅享80Pro 5G手机【限时补贴】昆仑玻璃10倍耐摔 鸿蒙 6100mAh+40W巨鲸续航护眼屏 游戏学生 12GB+512GB 星空黑 标配 【赠延保+碎屏保】,2899.0,1万+,优品手机通讯专营店,10173971058239.0,"['抗摔防水', '本店手机热销第1名', '鸿蒙安全守护']",12GB+512GB 星空黑,1万+,10000
HUERIAI旗舰顶配80Pro 5G手机 1TB超薄大屏 骁龙8+芯 8000mAh电池游戏电竞高刷全网通双卡双待百元便宜 鎏金色【补贴秒杀 | 今日特价】 16GB+256GB 官方标配,1099.0,1万+,HUERI智趣专卖店,10208813121267.0,"['骁龙8+处理器', '一亿像素超清拍照', '2026旗舰新款', '8000mAh', '高刷屏幕', '大气外观', '超薄大屏', '双卡双待']",鎏金色【补贴秒杀 | 今日特价】,500+,10000
OPRDX16Pro手机2026新品6年质保5G双卡全网通1TB大内存7800mAh快充大电池抗摔防水高清护眼拍照 钛沙金 12G运行+256G内存,1398.0,1万+,OPRD官方旗舰店,10144477677036.0,"['已售10万+', 'OP旗舰新品', '抗摔防水', '三防标准']",钛沙金,5000+,10000
华为 nova 15 512GB 幻夜黑 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2799.0,1万+,京东手机自营旗舰店,100310638776.0,"['北斗卫星图片消息', '5000万像素', '鸿蒙AI', '轻薄设计']",幻夜黑,1000+,10000
华为 nova 15 256GB 幻夜黑 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏华为手机【赠话费券】,2499.0,1万+,京东手机自营旗舰店,100310638736.0,"['轻薄设计', '鸿蒙AI', 'FHD+显示', '5000万像素']",幻夜黑,2000+,10000
新品华为mate70pro手机上市,1488.0,1万+,卓选数码手机店,10163252658600.0,"['地震预警', '红外遥控', '抗摔耐用', '大电池续航']",曜石黑 6GB+128GB,5000+,10000
华为2026热销 5G新品 智选80 Pro手机 红外遥控 AI智慧助手昆仑玻璃+玄甲机身 华为鸿蒙生态手机 mate 星海蓝 12G+512GB 蓝牙套装版丨送3年保修+180天只换不修+碎屏保,2898.0,1万+,华星通讯手机店,10159334864000.0,"['鸿蒙生态', '抗摔防水', '玄甲机身', '12G内存']",星海蓝 12G+512GB,5000+,10000
华为2026热销手机 鸿蒙新品70X 北斗卫星通信 支持NFC 玄甲机身抗跌耐摔 大电池长续航 地震预警 Mate 耀金黑【512GB】 蓝牙套装版丨3年质保+180天只换不...,2999.0,9000+,品宴手机通讯专营店,10122791293735.0,"['北斗卫星通信', '华为鸿蒙系统', '超长续航', '高性能处理']",耀金黑【512GB】,5000+,9000
华为2026热销手机 鸿蒙新品70X 北斗卫星通信 支持NFC 玄甲机身抗跌耐摔 大电池长续航 地震预警 Mate 雪域白【512GB】 蓝牙套装版丨3年质保+180天只换不修+碎屏险,2999.0,9000+,品宴手机通讯专营店,10122791293737.0,"['长续航', '7万+人加购', '800+人收藏', '只换不修']",雪域白【512GB】,5000+,9000
HUAWEI Mate 80 16GB+512GB晨曦金 麒麟9020 第二代红枫影像鸿蒙AI 华为直屏鸿蒙手机,5499.0,8000+,京东手机直营旗舰店,100226469453.0,"['红外遥控', '大内存储', 'LTPO屏幕', 'AI智慧']",晨曦金,5000+,8000
华为Mate60 手机 mate60pro国行手机旗舰鸿蒙智能AI手机麒麟芯片正品国行pro补贴智能 mate60Pro【雅丹黑】 12G+256G 支持7天试用赠送适配充电器,3489.0,8000+,潮机社手机优选拼购店,10190139635870.0,"['OLED直屏', '鸿蒙系统', '低价特卖', '现货速发']",mate60Pro【雅丹黑】,2000+,8000
OPPO A6 Pro 16GB+512GB 流水生金 耐用新一代 强悍更流畅 7000mAh大电池 IP69防水 5G学生智能手机,2299.0,8000+,OPPO京东自营专卖店,100270329578.0,"['IP69 防水', '军标测试', '时尚外观', '越级流畅双引擎']",流水生金,5000+,8000
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 晨光白12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏险,3031.0,7000+,京贸手机专营店,10199103516105.0,"['海量内存大电池', '新品5G旗舰', '鸿蒙安全守护', '巨量电池', '昆仑玻璃', '高频PWM', '海量双存', '红外遥控', 'SGS抗摔', '高速快充']",晨光白12+512GB,5000+,7000
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 星海蓝12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏险,3031.0,7000+,京贸手机专营店,10199103516108.0,"['鸿蒙安全守护', '海量内存大电池', '新品5G旗舰', '鸿蒙守护', '海量双存', '高速快充', '红外遥控', '昆仑玻璃']",星海蓝12+512GB,5000+,7000
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 星空黑12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏险,3031.0,7000+,京贸手机专营店,10199103516102.0,"['近7日热卖好货', '60万+人浏览', '15万+人加购']",星空黑12+512GB,5000+,7000
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 晨光白12+256GB 12期|免息180天只换不修+3年保修+碎屏险,3020.0,7000+,京贸手机专营店,10199103516115.0,"['海量内存大电池', '鸿蒙安全守护', '新品5G旗舰']",晨光白12+256GB,5000+,7000
华为手机智选80pro新品5G旗舰 红外遥控 昆仑玻璃 海量双存 鸿蒙守护五星级防水抗摔巨量电池+极速快充 星空黑12+512GB 蓝牙耳机套装版|180天只换不修+3年保修+碎屏险,3031.0,7000+,京贸手机专营店,10199103516102.0,"['海量内存大电池', '昆仑玻璃', '鸿蒙守护', '鸿蒙安全守护']",星空黑12+512GB,5000+,7000
华为智选手机5G新机2026上市Nova 12 SE【24期|免息】hi系列热销榜自拍美肤NFC一亿像素官方原装正品 曜金黑256GB 官方标配,1220.0,6000+,好机汇手机旗舰店,10209807221163.0,"['3200万前置', '大气三防', '支持NFC', '一亿像素']",曜金黑256GB,5000+,6000
荣耀Power2 12+512 幻夜黑 10080mAh青海湖电池 天玑8500 Elite 电梯信号 5G AI 长续航手机,2999.0,6000+,荣耀通讯京东自营专区,100316982510.0,"['10080mAh', '超长续航', '5G高速网络', 'AI户外模式']",幻夜黑,5000+,6000
iQOO13 16GB+512GB 骁龙8至尊版 5G手机 2025新款 选购24期 星芒白z9 12GB＋256GB,1599.0,6000+,创利科技小店,10142124390110.0,"['5G网络支持', 'IP68防水', '骁龙8优质版', '星芒白配色']",星芒白z9,2000+,6000
iQOO13 16GB+512GB 骁龙8至尊版 5G手机 2025新款 选购24期 星芒白z9x 8GB＋256GB,1299.0,6000+,创利科技小店,10142124390097.0,"['星芒白色', '骁龙8优质', 'IP68防护', '16GB内存']",星芒白z9x,2000+,6000
华为智选手机5G新机2026上市Nova 12 SE【24期|免息】hi系列热销榜自拍美肤NFC一亿像素官方原装正品 雪域白512GB 官方标配,1776.67,6000+,好机汇手机旗舰店,10209807221166.0,"['支持NFC', '一亿像素', '3200万前置', 'FHD+屏幕', 'OLED直屏', '大气三防', '雪域白色', '自拍美肤', 'NFC功能']",雪域白512GB,5000+,6000
荣耀Power2 12+512 旭日橙 10080mAh青海湖电池 天玑8500 Elite 电梯信号 5G AI 长续航手机,2999.0,6000+,荣耀通讯京东自营专区,100316982524.0,"['三防设计', '高频PWM', 'OLED屏', '超长续航', '大内存大存储', 'AI智能']",旭日橙,5000+,6000
荣耀Power2 12+256 旭日橙 10080mAh青海湖电池 天玑8500 Elite 电梯信号 5G AI 长续航手机,2699.0,6000+,荣耀通讯京东自营专区,100316982508.0,"['OLED屏', 'AI智能', '高频PWM', '防水防尘']",旭日橙,5000+,6000
荣耀Power2 12+256 雪原白 10080mAh青海湖电池 天玑8500 Elite 电梯信号 5G AI 长续航手机,2699.0,6000+,荣耀通讯京东自营专区,100237543323.0,"['青海湖电池', 'AI智能', 'AI拍摄', 'AI户外模式']",雪原白,5000+,6000
5G新品旗舰 华为mate70pro选购,2575.0,6000+,京贸手机专营店,10199349489193.0,"['AI大底主摄', '海量存储空间', '臻彩护眼屏', '鸿蒙安全守护']",曜金黑8+256GB,2000+,6000
华为手机2025新机上市畅享 70X鸿蒙【12期|免息】五星超耐摔6100mAh巨鲸长续航地震预警北斗卫星通信 曜金黑 256GB 【官方标配】【赠：季度碎屏险】,1461.05,5000+,好机汇手机旗舰店,10194750378880.0,"['5万+手机达人加购', '25万+人浏览']",曜金黑,2000+,5000
小米15 【国家补贴】  新品5G小米手机 白色 12GB+256GB 官方标配,3599.0,5000+,红米手机旗舰店,10147684899794.0,"['80万+手机达人浏览', '55万+人加购', '5千+人已买']",白色,2000+,5000
HAIUWEI补贴30%手机1024GB大内存7800mAh快充大电池电竞拍照防水新机 暗夜黑 16GB+512GB 官方标配,1368.0,5000+,享科经营部,10153999144980.0,,暗夜黑,2000+,5000
OPRDP80pro手机1024G大内存7800mAh快充大电池5G全网通骁龙888全新原装正品防水防摔拍照手机 香颂绿 16G运行+1024G（1TB）内存,1498.0,5000+,OPRD官方旗舰店,10159325252592.0,"['防水防摔', '原装正品', '大容量电池', '900+人已买']",香颂绿,2000+,5000
华为2026新机上市 智选80 Plus 5G旗舰手机 鸿蒙生态 超级快充 红外遥控 昆仑玻璃+玄甲机身 巨鲸续航 12GB+512GB 幻夜黑 蓝牙套装版| 365天只换不修+碎屏险+3年质保,2499.0,5000+,京之优手机专营店,10209066114010.0,"['鸿蒙安全守护', '华为巨鲸长续航', '双五星耐摔防水', '优质快充']",12GB+512GB 幻夜黑,2000+,5000
【补贴秒杀】HUERIAI智选60Pro 5G手机 512GB超薄大屏AI 7000毫安旗舰游戏高刷,699.0,5000+,HUERI智趣专卖店,10195645049388.0,,翡翠绿【补贴秒杀 | 今日特价】,2000+,5000
华为智选新机2025上市5G手机80Pro新品hi畅享 昆仑玻璃十倍耐摔6100mAh续航红外遥控mate补贴鸿蒙生态 星空黑 24G(12+12)+512G 官方标配+365天只换不修,1749.0,5000+,好机汇手机旗舰店,10167439207579.0,"['鸿蒙生态', '大电量长续航', '智能红外遥控', '防水防尘']",星空黑,2000+,5000
HAIUWEI补贴30%手机1024GB大内存7800mAh快充大电池电竞拍照防水新机 月影白 16GB+1024GB 官方标配,1468.0,5000+,享科经营部,10153999144989.0,,月影白,2000+,5000
HAIUWEI手机1TB内存9800mAh快充,1198.0,4000+,享科经营部,10153995638976.0,"['高清拍照', '生活防水防尘', 'OLED屏', '大内存畅享', '快充技术加持', '三防标准时尚', '双卡双待']",雅青,1000+,4000
华为 nova 15 256GB 零度白 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏鸿蒙手机【京东快递】,2599.0,4000+,京东手机直营旗舰店,100232845605.0,"['麒麟8020芯', 'FHD+显示', '防水防尘', 'OLED直屏']",零度白,2000+,4000
HAIUWEI手机1024G大内存5G双卡9800mAh快充大电池抗摔防水拍照 雅青 16GB运行+128GB内存 官方标配,1198.0,4000+,享科经营部,10153995638976.0,"['200+手机达人收藏', '抗摔防水']",雅青,1000+,4000
ORPO手机官方新款上市M60 Pro 16G运行1024G 120Hz高刷7800mAh长续航大电池游戏5G全网通双卡双待 山川青 旗舰版：12G+1024G,1999.0,4000+,海威格手机通讯专营店,10180700917431.0,"['3年免费质保', '9千+手机达人浏览', '性价比TOP']",山川青,2000+,4000
华为 nova 15 512G,2899.0,4000+,京东手机直营旗舰店,100310722768.0,"['多焦段影像', '鸿蒙AI', '高频PWM', '红外遥控']",幻夜黑,2000+,4000
华为 nova 15 256G,2599.0,4000+,京东手机直营旗舰店,100310722766.0,"['高频PWM', '臻彩OLED', '鸿蒙AI', 'IP65防护']",幻夜黑,2000+,4000
HAIUWEI手机1024G大内存5G双卡9800mAh快充大电池抗摔防水拍照 雅青 16GB运行+1TB（1024GB）内存 官方标配,1498.0,4000+,享科经营部,10153995638979.0,"['5万+手机达人浏览', '200+店铺粉丝浏览']",雅青,1000+,4000
华为（HUAWEI）Mate 80 新品旗舰手机 第二代红枫影像鸿蒙AI 华为直屏鸿蒙手机 曜石黑 12GB+512GB 官方标配,5199.0,4000+,华为京臻选专卖店,10199756342670.0,"['第二代', '400+手机达人收藏', '拍尽明暗冷暖']",曜石黑,2000+,4000
OPPO【国家补贴15%】Reno15新品上市opporeno15新款oppo手机5g全网通拍照手机 超清2亿像素 满级防水 极光蓝 12+256GB 官方标配,2999.0,4000+,OPPO智能数码旗舰店,10196624110243.0,"['3万+手机达人浏览', '满级防水', '400+人已买']",极光蓝,2000+,4000
华为 nova 15 256GB 好搭紫 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏鸿蒙手机【京东快递】,2599.0,4000+,京东手机直营旗舰店,100310722738.0,"['轻薄设计', '高频PWM', 'AI影像', '5000万像素']",好搭紫,2000+,4000
华为 nova 15 512GB 好搭紫 麒麟8020芯片 多焦段红枫影像 鸿蒙AI 臻彩OLED直屏鸿蒙手机【京东快递】,2899.0,4000+,京东手机直营旗舰店,100232845579.0,"['高频PWM', '臻彩OLED', '红枫影像', '麒麟芯片']",好搭紫,2000+,4000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 晨光白 耳机套装【运费险+碎屏险+两年延保】,2733.47,3000+,福购手机专营店,10189949499018.0,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航', 'IP64防护', '红外遥控', '快充续航', '十倍耐摔', '防尘防水', '昆仑玻璃', 'OLED护眼']",24GB(12+12)+512GB 晨光白,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+256GB 晨光白 24期白条免息【运费险+碎屏险+两年延保】,2851.77,3000+,福购手机专营店,10189949499011.0,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航']",24GB(12+12)+256GB 晨光白,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 星空黑 24期白条免息【运费险+碎屏险+两年延保】,3204.7,3000+,福购手机专营店,10189949499014.0,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航', 'IP64防护', '红外遥控', '快充续航', '高清屏幕', '十倍耐摔', 'OLED护眼']",24GB(12+12)+512GB 星空黑,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 星空黑 12期白条免息【运费险+碎屏险+两年延保】,2969.41,3000+,福购手机专营店,10189949499013.0,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航', 'IP64防护', '快充技术', '红外遥控', '高清屏幕', '十倍耐摔', '昆仑玻璃', 'OLED护眼']",24GB(12+12)+512GB 星空黑,2000+,3000
HVEIAI手机1TB大内存2026全新一代超高性能全网通5G双卡7800mAh快充长续航拍照十面抗摔全国质保6年 香颂绿 16G+1TB（1024G） 官方标配,1598.0,3000+,HVEI旗舰店,10159363665698.0,,香颂绿,2000+,3000
HUAWEI Mate 80 第二代红枫影像鸿蒙AI 华为直屏鸿蒙手机华为mate80 官方正品 曜石黑 16GB+512GB 全网通 官方标配,5499.0,3000+,京联通达旗舰店,10199736736359.0,"['第二代红枫影像', '超可靠玄武架构']",曜石黑,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+256GB 星海蓝 耳机套装【运费险+碎屏险+两年延保】,2381.35,3000+,福购手机专营店,10189949499006.0,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航', 'IP64防护', '26-49W快充', '红外遥控', '十倍耐摔', '昆仑玻璃', 'OLED护眼']",24GB(12+12)+256GB 星海蓝,2000+,3000
HUAWEI Mate 80  第二代红枫影像 鸿蒙AI 超可靠玄武架构 华为直屏鸿蒙手机 曜石黑 12GB+512GB 官方标配,5399.0,3000+,华为礼象专卖店,10199734921579.0,"['第二代红枫影像', '超可靠玄武架构', '第二代']",曜石黑,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 晨光白 24期白条免息【运费险+碎屏险+两年延保】,3204.7,3000+,福购手机专营店,10189949499020.0,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航', '5000万像素', '昆仑玻璃', '红外遥控', 'IP64防护', '十倍耐摔', '512GB存储', 'OLED护眼']",24GB(12+12)+512GB 晨光白,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+256GB 星空黑 12期白条免息【运费险+碎屏险+两年延保】,2616.47,3000+,福购手机专营店,10189949499004.0,"['26-49W快充', '十倍耐摔', 'OLED护眼', '华为巨鲸续航']",24GB(12+12)+256GB 星空黑,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 晨光白 12期白条免息【运费险+碎屏险+两年延保】,2969.41,3000+,福购手机专营店,10189949499019.0,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航']",24GB(12+12)+512GB 晨光白,2000+,3000
华为手机新品5G  mate80pro上市,2733.47,3000+,福购手机专营店,10189949499012.0,"['十倍耐摔', '华为巨鲸续航', '昆仑抗摔玻璃', 'OLED护眼']",24GB(12+12)+512GB 星空黑,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+512GB 星海蓝 耳机套装【运费险+碎屏险+两年延保】,2733.47,3000+,福购手机专营店,10189949499015.0,"['华为新机上市', '昆仑抗摔玻璃', '华为巨鲸续航', 'IP64防护', '十倍耐摔', '红外遥控', '昆仑玻璃', 'OLED护眼']",24GB(12+12)+512GB 星海蓝,2000+,3000
华为手机5G新品 畅享80 Pro【国家补贴】24期免息手机华为昆仑玻璃十倍耐摔OLED护眼屏 补贴mate80 24GB(12+12)+256GB 晨光白 耳机套装【运费险+碎屏险+两年延保】,2381.35,3000+,福购手机专营店,10189949499009.0,"['华为巨鲸续航', 'IP64防护', 'FHD+屏幕', '26-49W快充', '红外遥控', '华为新机上市', 'OLED护眼', '十倍耐摔', '昆仑抗摔玻璃', '昆仑玻璃']",24GB(12+12)+256GB 晨光白,2000+,3000
华为智选新机2026上市5G手机hi Nova12se系列热销榜nova15可选1亿像素千元机官方原装正品自拍美肤NFC 雪域白 256G 官方标配,1088.0,3000+,好机汇手机旗舰店,10192981593190.0,"['自拍美肤功能', '2万+手机达人浏览']",雪域白,2000+,3000
华为手机新品5G  mate80pro上市,2322.53,3000+,福购手机专营店,10189949499003.0,"['十倍耐摔', '华为巨鲸续航', 'OLED护眼', 'IP64防护']",24GB(12+12)+256GB 星空黑,2000+,3000
华为 nova 15 Pro 256GB 幻夜黑 麒麟9系前后红枫影像鸿蒙AI超动态臻彩护眼屏昆仑玻璃【京东快递】,3449.0,2000+,京东手机直营旗舰店,100232845541.0,"['红外遥控', '高频PWM', '红枫影像', 'AI护眼']",幻夜黑,1000+,2000
荣耀Power2 12+512 旭日橙 10080mAh青海湖电池 电梯信号 5G AI 长续航手机【赠话费券】,2999.0,2000+,京东手机自营旗舰店,100314808810.0,"['高频调光', '长续航能力', '5G网络支持', 'AI大模型']",旭日橙,2000+,2000
HUAWEI Mate 80 Pro 旗舰手机 第二代红枫影像鸿蒙AI直屏鸿蒙手机 华为mate80pro手机 官方正品 现货速发 曜石黑 12+512GB 全网通,6799.0,2000+,炜东电商旗舰店,10199737138325.0,"['现货速发', '50万+人浏览', '第二代', '700+人已买']",曜石黑,1000+,2000
华为 nova 15 512GB 幻夜黑,2799.0,2000+,,100310741566.0,"['12GB内存', '麒麟8020芯片', '高频调光', '6.6英寸屏']",幻夜黑,2000+,2000
华为（HUAWEI）Mate60 正品智能手机旗舰鸿蒙智能AI手机男女正品国行pro补贴 Mate60【白沙银】 12GB+256GB 赠运费险|详情咨询客服,3098.0,2000+,速捷手机经营部,10191251968857.0,"['近3千人加购', '近2万人浏览', '累计好评5百+', 'OLED直屏', '三防标准']",Mate60【白沙银】,1000+,2000
【官方智选】超大巨屏5G手机全网通90HZ高刷2K高清大屏一体金属机身八核畅玩游戏办公学习娱乐备用机,599.0,2000+,飞利浦网络产品旗舰店,10165420719191.0,"['补贴20%', '90HZ高刷', '500+人已买', '8.68超大屏']",深空灰,1000+,2000
HUAYAI手机P70 Pro2026旗舰新款上市16+1TB大内存 持久流畅144Hz高刷大屏7900大电池超长续航5G全网通 冰晶蓝 旗舰版12+256G【官方标配+质保三年】,1799.0,2000+,HUAY旗舰店,10161531873105.0,"['3万+手机达人浏览', '1万+手机达人加购']",冰晶蓝,1000+,2000
荣耀Power2 12+512 幻夜黑 10080mAh青海湖电池 电梯信号 5G AI 长续航手机【赠话费券】,2999.0,2000+,京东手机自营旗舰店,100235908603.0,"['高像素摄像', '超长续航', '大内存空间', '三防设计']",幻夜黑,2000+,2000
华为2026热销 5G新品 80 Pro智选手机 红外遥控 AI智慧助手昆仑玻璃+玄甲机身 华为鸿蒙生态手机 星海蓝 12G+512GB 官方标配【180天只换不修+2年保修+碎屏保】,2718.0,2000+,华良数码手机店,10161205998035.0,"['轻薄机身', '高频调光', '5000万像素', 'OLED直屏']",星海蓝 12G+512GB,1000+,2000
华为 nova 15 Pro 512GB 幻夜黑 麒麟9系前后红枫影像鸿蒙AI超动态臻彩护眼屏昆仑玻璃【京东快递】,3699.0,2000+,京东手机直营旗舰店,100310722700.0,"['轻薄设计', 'AI护眼', '高频调光', '大内存储']",幻夜黑,1000+,2000
华为（HUAWEI）Mate60 正品智能手机旗舰鸿蒙智能AI手机男女正品国行pro补贴 Mate60【雅川青】 12GB+256GB 赠运费险|详情咨询客服,3098.0,2000+,速捷手机经营部,10191251968851.0,"['鸿蒙系统', '三防设计', '时尚外观', '商务风范']",Mate60【雅川青】,1000+,2000
华为nova 12 Pro 512GB 曜金黑#4K超广角镜头前置6000万人像追焦双摄 100W快充手机【赠流量卡】,2499.0,2000+,中国电信京东自营旗舰店,100160994040.0,"['出色影像', '1万+手机达人加购']",曜金黑,2000+,2000
17pro【分期免息】17 17Pro系列iphone17promax 17promax5G全网通手机 苹果17 青雾蓝色 256GB 全网通+配件礼包,5699.0,2000+,智选数码买手店,10198294153802.0,"['青雾蓝色', '配件礼包', '全网通用', '大容量存储']",苹果17 青雾蓝色,1000+,2000
HUAWEI Pura 70 Pro 华为手机p70pro 超高速风驰闪拍 超聚光微距长焦北斗卫星图片消息 华为鸿蒙智能手机 羽砂黑 12GB+512G 官方标配,4699.0,2000+,华为大鹏专卖店,10101437755239.0,,羽砂黑,1000+,2000
华为nova 12 Pro 256GB 曜金黑#4K超广角镜头前置6000万人像追焦双摄 100W快充手机【赠流量卡】,2199.0,2000+,中国电信京东自营旗舰店,100160993984.0,,曜金黑,2000+,2000
