评论,分数,产品,名字
"之前用着红米K70至尊版，现在换这个用着，个人用着非常nice好叭，还挺便宜的，买的是1TB+16GB（32GB），简直不要太爽，真是太喜欢红米手机，打算明年再买一个红米turbo5max，真是太喜欢啦，操作非常丝滑，屏幕色彩鲜艳刻在设置中设置，根据个人喜好设置，手感个人用着特别好
外形外观：颜值很高，用久了红米K70至尊版换成这个自然而然就不会显得很宽
拍照效果：超棒
运行速度：很快
待机时间：超长待机，带有7550毫安大电池
其他特色：后面摄像头充电的时候有灯效，听歌的时候也会有，可在设置中设置",5,已购 白色 16GB+1TB,可爱白喵
"外形外观：外形秀气，好看
屏幕音效：屏幕清晰，音质不错
拍照效果：拍照可以
运行速度：运行速度快，不卡
待机时间：待机时间长，充电速度快，妥妥小钢炮",5,已购 黑色 16GB+256GB,黯然壹笑a
家人一直用小米的手机，薄厚合适，拿在手里感觉手感也很好，操作顺畅，拍照挺清晰的，颜色自然，价格实惠，有国家补贴，感觉很值。,5,已购 黑色 16GB+256GB,jd_153110gbp
这款手机质量出众，给人超稳体验。拍照对拍风景的我完全够用，操作流畅，开多个后台软件也不卡顿，耗电还慢。追求性价比日常用，闭眼入。,5,已购 白色 16GB+256GB,3***l
手机用了两天，我只是看视频用，电池特别耐用，连续放了5小时视频，电量才掉了30，而且只有一点点热，看评论有的说特别热，我还担心，现在觉得完全多余，价位也合适，很满意,5,已购 黑色 12GB+256GB,1om426fkg7fnha
"📱手感真的超舒服，握持感满分✨
🌈屏幕色彩鲜艳到惊艳，看视频超享受🎥
🔊外放声音洪亮清晰，追剧不用戴耳机🎧
⚡运行速度快得飞起，切换应用毫无卡顿🚀
📦快递包装严实，送货速度也快，服务贴心👍",5,已购 粉金色 16GB+512GB,五里雾中---
手机看起来好高级，用了也不错，刚刚拿到手就弄好了，粉金色真的好好看，好喜欢，屏幕颜色看着很清晰，。。。。。。总之哪哪都喜欢,5,已购 粉金色 16GB+512GB,jd_133499qzb
红米Turbo 4 Pro性能强劲，骁龙8S Gen4搭配大内存，7550mAh电池续航超赞，千元机中的性价比之选。,5,已购 粉金色 16GB+512GB,jdbgghl
这家店的商品真的很不错，设计很经典，质量也过硬，材质很耐磨。商家服务友善，使用舒服，物流快，性价比高！ 给老妈买的，很不错，运行流畅，不卡顿。颜值也是可以的,5,已购 粉金色 16GB+512GB,l***0
手感一流，选了粉色的，感觉淡了点，不过没关系，买个手机壳装上即可，看了很久，现有国补，果断出手。。。,5,已购 粉金色 16GB+512GB,jd_0bzo9uj95bnczc
还可以，给妈妈买的，不怎么拍照也不玩儿游戏就足够用了，挺丝滑的，手感也不错，整体都还可以，好评。希望耐用,5,已购 粉金色 16GB+512GB,樱樱樱-樱桃
商家发货快，物美价廉！有国补比较便宜优惠！颜值高，电池容量够大，刚到手，有什么情况玩轮再说吧，希望耐用！,5,已购 粉金色 16GB+512GB,粤***技
京东商城上购买的小米品牌的红米turbo4pro.领了国家补贴1820买的，手机很漂亮个人很喜欢，手机很流畅很好用，虽然标有电池7500，但个人觉得电量还是用得很快。非常好的手机。,5,已购 粉金色 16GB+512GB,jdzjpzhzh
"直观说下感受
	电池死命往上卷，7600毫安，仅次于荣耀power的8000🔋四月份点机圈真的是crazy了
我查了下屏幕是华星家的。👌
红米的屏幕我觉得一直还可以（这个不是尬吹），属于这个价位的第一梯队。
- 📱 6.83英寸1.5K大直屏＋144Hz动态刷新率、屏幕略大过oppo find x8ultra
- 📱 峰值亮度3200nit、1920Hz高频PWM调光
强光下看得蛮清楚",5,已购 粉金色 16GB+512GB,1***6
新手机就是爽，国补入手真划算，速度很快，终于又可以用新手机了，比较了几腓平台还是相信jd 还得是jd送段也快，需要现场激活无所谓反正自己用.,5,已购 粉金色 16GB+512GB,没有教养的
手机字体可以调很大，挺适合的老人用的，而且内存也足够，不会卡顿，屏幕色彩很鲜艳，拍照也挺清楚，是一款还不错的手机，买给家人用，很适合,5,已购 黑色 12GB+256GB,8023ac
家里一直都用小米的手机，这次到新年又换了一部，红米手机性价比很高，性能也很好，关键是和原来手机数据导入很方便。快捷，操作系统也都适应了，不用费劲。,5,已购 白色 16GB+512GB,s21t790loeazsz
"外形外观：金属边框，在千元机里很有质感，给家里人买的，屏幕很大，电池也大，适合家里人使用。
运行速度：很流畅，12g+256g足够家人使用了，很方便！
过年期间买的，次日达，物流很快！",5,已购 黑色 12GB+256GB,jd_97wtw821wszwkm
红米这款性能没的说，老人日常用完全够。不过尺寸也确实大，拿在手里有点不舒服，过重的重量单手操作也有点不适应。价格可以再低一点，用起来更开心。,5,已购 黑色 12GB+256GB,大***4
这是我父母第三台红米手机了，从机子的功能，使用年限，和价格等多种因素的综合考虑，红米系列的手机绝对值得推荐。,5,已购 黑色 12GB+256GB,solcampell
这款真的是性能小钢炮，玩游戏，刷视频杠杠滴，非常流畅，不卡顿。大电池续航持久，手机手感也好，买对了!,5,已购 黑色 12GB+256GB,凌***咪
红米Turbo4 Pro性能很强，骁龙8s Gen4流畅不卡，游戏满帧稳跑。7550mAh大电池续航超顶，重度一天轻松够用，90W快充回血快。屏幕清晰、散热靠谱，两千档性价比拉满。,5,已购 黑色 12GB+256GB,jd_bz47e96yp5p7s9
"外形外观：好看，给家人买的，新年换新手机
屏幕音效：屏幕舒适
拍照效果：拍照效果可以😌
其他特色：之前也给家人买过红米，这次换新的还是换红米",5,已购 白色 12GB+512GB,千树子菌
给孩子买的手机 毫不犹豫的就选择了小米的  性价比高 功能强大 电池续航能力优秀  买来自带手机壳 90w充电器 孩子喜欢 我也满意,5,已购 白色 12GB+256GB,日天雨林
这款朋友好几个都买了，都说还不错，待机时间挺长的，充电特别快，屏幕色彩也不错，应该可以用个三五年没问题，内存也挺大的。,5,已购 黑色 12GB+256GB,第***忆
新手机比上一代升级很多，拿在手里手感很好，金属边框，特别圆润，屏幕给我的感觉就是很大，电池续航也不错,5,已购 白色 12GB+256GB,轩***米
"📱手感真的超舒服，握持感满分✨
🌈屏幕色彩鲜艳到惊艳，看视频超享受🎥
🔊外放声音洪亮清晰，追剧不用戴耳机🎧
⚡运行速度快得飞起，切换应用毫无卡顿🚀
📦快递包装严实，送货速度也快，服务贴心👍",5,已购 粉金色 16GB+512GB,五里雾中---
"不错，不错，
拍照效果：完美😍
运行速度：很快，
外形外观：很好看啊，实在的很
屏幕音效：很酷炫很
待机时间：完美😍
其他特色：帅，真的很不错，以后还来买&hellip;&hellip;",5,已购 黑色 12GB+256GB,没有回音的山谷o
收货效率高商家发货给力，拆包看到手机挺漂亮的，音乐和拍照效果都不错，上网打游戏速度也是一流，一直都是小米忠实粉丝前前后后在京东买过六台质量都没问题！👍,5,已购 黑色 16GB+256GB,j***2
手机看起来好高级，用了也不错，刚刚拿到手就弄好了，粉金色真的好好看，好喜欢，屏幕颜色看着很清晰，。。。。。。总之哪哪都喜欢,5,已购 粉金色 16GB+512GB,jd_133499qzb
"显示细腻，性能强劲，电池容量超大，功能丰富，针不
错。非常棒，值得推荐！客服小云，服务态度很不错，耐
心指导。",5,已购 粉金色 12GB+256GB,7***l
"喇叭外放声音大，屏幕色彩艳丽，阳光下也看得十分清楚，12g+512g,存储空间足够用了，性价比很高。",5,已购 粉金色 12GB+512GB,魔***8
"拍照效果：拍摄视频可以
外形外观：好看
屏幕音效：好呢",3,已购 粉金色 12GB+256GB,j***b
给家人买的新手机选了小米这款手机性价比非常高，手机用起来非常的流畅，实用起来大小也正合适，价格也是很好的，接受起来无难度，满意,5,已购 黑色 12GB+256GB,u***v
红米Turbo4 Pro性价比拉满，骁龙8S Gen4性能强劲，游戏流畅不卡顿。7550mAh大电池续航超强，金属中框质感好，系统流畅稳定，千元机首选！,5,已购 黑色 12GB+256GB,甜***g
"外形外观：漂亮
屏幕音效：音质
拍照效果：清晰
运行速度：很快
待机时间：待机时间长
其他特色：性价比非常高值得购买 真好",5,已购 白色 16GB+512GB,8***9
给婆婆买的，手机很不错，屏幕很大，手感很好，清晰度也很高。婆婆很喜欢这款手机，价格还有过补，很实惠。,5,已购 粉金色 16GB+256GB,我都笑纳
手机颜值超高，运行流畅，不卡顿，拍照清晰，色彩还原好续航，给力，充电也快，系统稳定，功能丰富，用起来特别顺手，性价比非常高，非常满意,5,已购 黑色 12GB+256GB,倩倩打瞌睡
嗯，小米红米手机外形很惊艳，颜色也很清新亮丽，性价比非常高，手感不错，加上国家补贴价格相当给力，超出预期好评，非常好的手机,5,已购 白色 12GB+256GB,jd_186222cul
非常好看的一款手机，手感很好，清晰度很高，我非常喜欢这款手机。价格也参与国补，到手很实惠。非常满意！,5,已购 粉金色 16GB+256GB,C嵛帆
不得不说，小米家的红米系列真的是性价比特别高的一款手机，操作起来超级方便，旧手机的资料全部导过去了，手机超级好用,5,已购 白色 16GB+256GB,u_mn43x3k8c4w1
红米Turbo 4 Pro性能强劲，骁龙8S Gen4搭配大内存，7550mAh电池续航超赞，千元机中的性价比之选。,5,已购 粉金色 16GB+512GB,jdbgghl
手机质量不错，优惠力度大，附赠品齐全，手感也丝滑，开机响应快，拍照效果也非常不错，整体作工精细，年底有国补，加上京东补贴，相当的物有所值，值得入手的好物。,5,已购 黑色 16GB+1TB,u_qqmjz1g32wx4
这款小米手机外形十分好看拍照效果十分清晰特别适合年纪大的老人待机时间长，有需要的朋友们可以抓紧时间及时购买，非常的不错，而且价钱非常便宜,5,已购 粉金色 12GB+256GB,y***0
手感还是很不错的，他们家的价格不贵，还挺顺手的，老人也比较喜欢，毕竟我是给家人买的，我觉得还是挺不错的吧，运行的速度也很快,5,已购 粉金色 12GB+256GB,雷声雨点小哈
快过年了，给家里的老人买的手机，之前的那个手机用了好几年，刷视频或者看微信都特别卡。这次换了这个之后，速度快了很多，再适应几天,5,已购 粉金色 12GB+256GB,喊我溜溜
"手机做工精致，屏幕清晰，握持手感出色，系统流畅，拍
照清楚日常使用足够了，物超所值。特别合父母用，或者自己当备用机使用也可以的！小米官网查询的确是未激活的，好评！",5,已购 粉金色 12GB+256GB,7***l
手机收到了是全新未拆封的没有问题，买给家里人用的，日常用非常满意 包装也很好没有什么问题，手机也很漂亮，质感很好，电池容量大，能用很久,5,已购 粉金色 12GB+256GB,j***0
Redmi Turbo 4 Pro性价比超高，骁龙8S Gen4性能强劲，游戏流畅不卡顿。7550mAh大电池续航持久，90W快充回血快。金属中框质感好，IP68防水实用，屏幕清晰护眼，系统流畅，同价位几乎无短板，非常值得入手。,5,已购 黑色 12GB+512GB,j***z
小米出品必属精品，之前用的红米手机，为了方便倒数据还是继续购买的这款红米，内存1tb足够大才够用，顺便还购买了电池2年换新的服务，希望经久耐用。,5,已购 白色 16GB+1TB,红***鱼
"REDMI Turbo 4 Pro搭载的第四代骁龙8s处理器使得性能异常强劲，无论是游戏还是多任务处理都能游刃有余。这款手机配备了12GB内存和256GB存储，再也不用担心跑速和空间不足的问题。
7550mAh的超大电池让人惊喜，长时间的使用体验无需频繁充电，完全能够满足重度手机党的日常需求。无论是外出旅行还是长时间工作的场合，REDMI Turbo 4 Pro都能保证有足够的电量支持。",5,已购 黑色 12GB+256GB,霜_天
外现时尚，送货快，随便夸夸,3,已购 白色 12GB+256GB,崆峒山旁的南瓜车
"这款手机外观时尚精致，轻薄便携手感佳。性能强劲运行
流畅，拍照效果出色，色彩还原度高。电池续航能力不
错，充电速度快，很值得入手。",5,已购 粉金色 12GB+512GB,ann21d234td8lx
"红米Turbo 4 Pro手机是一款性价比极高的中端机型，它在性能、续航、设计和屏幕等方面都有出色的表现。
这次在享受国家补贴后到手价更为亲民，是一款性价比极高的手机。",5,已购 黑色 16GB+256GB,9***g
性能流畅，传输数据的时候也很方便，不卡顿，拍照还行，买的12➕256g的，足够老人家用了。手机屏特别大哈哈手都握不住，送长辈的可以选这款手机。😌,5,已购 黑色 12GB+256GB,7***4
"手机非常好用！确定是正品无误！骁龙芯片+大肉a1o
存，玩游戏、多任务都流畅，完全不卡顿。高清主摄+夜景模式，随手拍都清晰，夜景噪点少，色彩超自然。大电池*快充，重度使用一天没问题，充电5分钟能用好久，再也不怕没电焦虑。操作顺手，新功能总能帶来惊喜。同配置价格比其他品牌低很多，质量都一点不含糊，支持小米，国货之光！用了一段时间越用越喜欢，真心推荐！",5,已购 白色 12GB+256GB,j***h
"待机时间：待机时间长
运行速度：挺快的
拍照效果：拍照清晰度一般吧，也还行
外形外观：可以，大气手感也舒服
其他特色：小米手机值得信赖。",5,已购 白色 16GB+1TB,g***5
这家店的商品真的很不错，设计很经典，质量也过硬，材质很耐磨。商家服务友善，使用舒服，物流快，性价比高！ 给老妈买的，很不错，运行流畅，不卡顿。颜值也是可以的,5,已购 粉金色 16GB+512GB,l***0
手机收到，运行流畅，外观设计合理，手感不错，大游戏不卡顿，画面感强，像素图像效果好，音响设备质感很好，小米手机已经是第二次回购了，电池容量大，待机时间长，屏幕设计合理舒适。,5,已购 黑色 12GB+256GB,29athz4z78r9s1
买的是1TB的，要用到的大储存，价格也非常好，手机颜值也很喜欢，用起来也不卡顿，电池容量也超大，不担心一天一次充电了，京东自营品物流也是杠杠的，第二天就到了，非常快。,5,已购 粉金色 16GB+1TB,4y100g7u8s671c
之前使用小米手机10s四年多了，电池掉电快了，而且有些卡了，这次更换这款红米手机性价比不错，运行速度奇快，外放喇叭声音一般，总之就是这款手机非常适合老年人使用。,5,已购 黑色 16GB+256GB,WizzleX
待机时间，拍照都挺好的。就是寸照片没有以前按天存的功能。对于热爱拍照的人来说查找资料有点不那么方便。其他都挺好,5,已购 黑色 16GB+512GB,xa16q972tovat1
红米Turbo 4 Pro太顶了！性能强劲，玩游戏超流畅。超大电池超长续航，告别电量焦虑。屏幕护眼清晰，拍照也够用。性价比超高，闭眼入不亏，真香！,5,已购 黑色 12GB+256GB,陈不慌v
"手机收到了，还可以不错的选择
外形外观：外观设计漂亮美观
屏幕音效：屏幕音质清晰度高
拍照效果：拍照效果很好
运行速度：运行速度快
待机时间：待机时间长",5,已购 黑色 12GB+256GB,j***m
红米TrubO4 Pro此款真是千元档机性价比的天花板，此价格能买到金属中框十AG玻璃后盖，IP68防水。大电池超长继航，一天一充完全足够，国补抢不到，有些遗憾！,5,已购 黑色 12GB+256GB,jd133828glk
"外形外观：外观好看大气简约
屏幕音效：音效同价位还是可以的
拍照效果：📷也很OK
待机时间：正常两天充一次长辈用的很耐用",5,已购 黑色 12GB+256GB,jd_150785zxkc
手机不错，屏幕大，本以为初四才可以收到货，没想到今天就收到了，收到后感觉他惊讶了，参加国补买下来不到2000，值了。,5,已购 粉金色 16GB+256GB,b***e
"拍照平时用还是够用了，颜值不错，
外形外观：手机拿在手上的触感还是挺爽的，用了一会电池非常经用，",5,已购 白色 12GB+256GB,jd_131646vsv
手机颜值比较高，拍照比较清晰，玩游戏比较流畅，刷抖音比较好，给妈妈买的，妈妈很满意,5,已购 粉金色 12GB+512GB,jd_70ubb06q4v0gyv
屏很大     颜色很干净     有插头   不用单独买   给老人买的    感觉不错,5,已购 白色 12GB+256GB,j***摆
小米这款手机超出了我的预期，外观简约好看，性能流畅不卡顿，续航也超给力，用着特别顺手，真心不错,5,已购 黑色 12GB+256GB,轩***米
货已收到，待用一段时间观察效果,3,已购 黑色 12GB+512GB,4***7
"买手机上京东，质量很好有保证。
外形外观：好
屏幕音效：好
拍照效果：好
运行速度：快
待机时间：长",5,已购 黑色 12GB+256GB,jd_6h9279y690c23q
做工精细，屏幕清晰，反应很快，日常使用完全没问题，信号稳定，客服态度好，非常满意的一次购物！,5,已购 黑色 12GB+256GB,萩萩666
手机电池非常大，也很经用，再也不担心没有电了，功能强大，系统用用着非常流畅，非常舒服。,5,已购 白色 12GB+512GB,行***5
手机非常不错，外观大气，运行流畅，屏幕大。用了国补价格合适，给老人使用非常合适。,5,已购 白色 12GB+256GB,从***t
质量很好，值得购买，家里人很喜欢，拍照清晰，系统流畅，软件好用，充电速度快，音乐质量很好，包装完美,5,已购 白色 12GB+512GB,东***l
我自己半年前换了手机，给先生也换了同款，用了一段时间了，手机运行速度快，好用，打游戏丝滑。好评。,5,已购 白色 16GB+1TB,i来向暖
第一次在京东商城里面购买小米的手机，性价比高🏀质量很好，电池够大，屏幕看的很清，做备用机够用。,5,已购 黑色 12GB+256GB,jd_1300津1300津
物美价廉，性能强劲，系统流畅，电池容量大，性价比之王，平时看看小说刷刷短剧都没问题,5,已购 粉金色 12GB+256GB,轩***米
这个手机买来用了一阵子，是给老爸买的生日礼物，他表示很喜欢这个手机，充电速度快，屏幕大,5,已购 白色 12GB+256GB,轩***米
"手机收到，快递小哥很有耐心，帮着录了开箱视频。
手机外观线条流畅，手感不错，运行速度快。",5,已购 黑色 12GB+512GB,jd_139202dxp
这款手机很不错，一千出头，很实惠，性能强大，平时好看小说刷刷短剧够用，非常满意。,5,已购 黑色 12GB+256GB,轩***米
用起来挺好的，看了很久的手机，最后选择了这个手机，比k系列感觉很好，挺好的手机，值得推荐。,5,已购 白色 12GB+256GB,Mike-HH
"外形外观：大圆角，手感不错
运行速度：买来给老人用的，没有问题
待机时间：基本光刷视频，待机很长",5,已购 粉金色 12GB+256GB,h***1
红米手机价格实惠，东西也不错，属于那种买了不会后悔的类型，性价比确实拉满，系统也很丝滑,5,已购 白色 12GB+256GB,略略略略略略666
用了几款红米手机，感觉比小米更实用，功能够用，不花哨，适合日常使用，挺满意的，适合给老人用,5,已购 白色 12GB+256GB,略略略略略略666
京东购买，物流很快，隔天到货，屏幕色彩鲜艳，操作简单顺畅，阳光下很清晰，待机时间可以,5,已购 黑色 12GB+256GB,-小李丢丢
机身轻薄，手感也很好，屏幕大，这个价格很优惠，打电话音质也很棒，不到2千的价格，性价比还不错,5,已购 粉金色 12GB+256GB,深***1
这个红米手机很好用，很流畅，照相也很清晰，声音也很大，电池非常耐用，非常非常满意,5,已购 黑色 12GB+256GB,李***-
"外形外观：很棒
屏幕音效：很棒，
拍照效果：拍照清晰，运行速度快
待机时间：待机时间长",5,已购 白色 12GB+256GB,叫***哥
这个手机挺好的吧 用电挺慢的 打游戏的话我暂时还没玩过 看视频可以 拍照的话一般般 其他的都还可以,5,已购 白色 16GB+256GB,泪***心
外形外观超级漂亮，屏幕音效又很完美，拍照效果也非常非常的清晰，色彩也很鲜艳，下次还要购买,5,已购 白色 12GB+256GB,扎扎9527
平时刷视频清晰度是可以的，看个电视剧也不卡，拍照片镜头也算清晰，绿色的感觉要比其他颜色更好看点实物，阳光下调光亮度也是可以的,5,已购 绿色 12GB+256GB,圆圆子der
