商品ID,标题,品牌,价格,原价
6921665583461092358,15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,4199,4299
6921326352584377424,Redmi红米14C手机【手机支架套餐】5160mAh大电量,小米,649,699
6921659857718585736, 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,4829,4999
6921400569218969861, Y37c【新款上市】5500mh大电池4G手机,vivo,716,799
6921377058999425098,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,1099,1399
6921761422469260165,Play10A 5300mAh大电池超长续 5G智能手机,荣耀,689,799
6921723666075435596,Ace 6T 骁龙8旗舰芯165Hz高刷索尼主摄电竞5G手机,一加,2399,2599
6921187472589396363,REDMI K80第三代骁龙8 2K屏6550mAh红米,小米,2099,2899
6921785796584247880,Z11Turbo 7600mAh大电池100W闪充新款手机,iQOO,3209,3499
6921743806023569550,S50 90W闪充第三代骁龙8s大电池2025新款5G手机,vivo,3246,3599
6921020517497912522,nova Flip小折叠 鸿蒙AI趣玩 后置5000万悬停自拍智能手机,华为,2899,9999
6921655337366380306,飞利浦智能手机90Hz高刷屏八核旗舰学生手机百元老老年人手机,PHILIPS,459,499
6921665583461153798,15 性能Ultra 超旗舰 第五代骁龙8风驰游戏内核手,一加,4799,4899
6921326352584467536,Redmi红米14C手机【手机支架套餐】5160mAh大电量,小米,529,599
6921674356267378120,Neo11 骁龙8至尊版大电池100W闪充新款5G手机,iQOO,2909,2999
6921740898765859525,S50 新品上市 拍照长焦神器 90W闪充 6500mAH电池 5G智能手机,vivo,3146,3399
6921377058999421002,畅享80华为巨鲸电池玄甲架构双五星超耐摔鸿蒙手机,华为,929,1199
6921761422469247877,Play10A 5300mAh大电池超长续 5G智能手机,荣耀,689,799
6921723666075443788,Ace 6T 骁龙8旗舰芯165Hz高刷索尼主摄电竞5G手机,一加,2399,2599
6921187472589379979,REDMI K80第三代骁龙8 2K屏6550mAh红米,小米,2099,2899
6921785796601152072,Z11Turbo 7600mAh大电池100W闪充新款手机,iQOO,3628,3999
6921649490448978629,X300 新品上市 6040mAh大电池 90W闪充 巨出片拍照 5G智能手机,vivo,4396,4699
6921417645833839498,畅享 70S 大电池长续航 AOD护眼大屏 鸿蒙智能手机,华为,869,1199
6921570100303630345,A3i 5G超硬核抗摔架构45W超级闪充学生智能拍照老人机,OPPO,799,
6921776803316611206,Turbo 6 9000mAh冰川电池165Hz高刷手机,一加,2899,
6920707160170236688,Redmi小米红米13C手机【手机支架套餐】天玑6000+,小米,669,899
6921659857701624200, 15 100W闪充第五代骁龙8至尊版新款5G手机,iQOO,4529,4699
6921740898765888197,S50 新品上市 拍照长焦神器 90W闪充 6500mAH电池 5G智能手机,vivo,2746,2999
6921741047448226506,nova 15 麒麟8020芯片 多焦段红枫影像直屏鸿蒙手机,华为,2499,2699
6921823545320000905,A6i+ 7000mAh大电池 IP69满级防水 5G手机,OPPO,1373,1499
6921665632782872780,Ace 6【旗舰上新】骁龙至尊三摄拍照游戏5G手机,一加,2899,
6920649153960113040,Redmi红米Note13 Pro【蓝牙耳机套餐】2亿像素,小米,1199,1799
6921674356267419080,Neo11 骁龙8至尊版大电池100W闪充新款5G手机,iQOO,2909,2999
6921743805889228942,S50 90W闪充第三代骁龙8s大电池2025新款5G手机,vivo,3146,3399
6921417645833827210,畅享 70S 大电池长续航 AOD护眼大屏 鸿蒙智能手机,华为,869,1199
6921655513138044686,Find X9【旗舰手机】全焦段哈苏摄像潮汐架构性能5G手机,OPPO,4098,4398
6921776803316680838,Turbo 6 9000mAh冰川电池165Hz高刷手机,一加,2599,
6921114723303304459,Redmi Note 14OLED直屏索尼大光圈相机红米,小米,859,1299
6921406030692783752,Z10Turbo 7620mAh大电池90W闪充新款5G手机,iQOO,1739,1799
6921398520719988741,X200s【新款上市】天玑 9400+芯片90W超快闪充5G手机,vivo,4196,4699
6921557958146152394,nova Flip小折叠 鸿蒙AI趣玩 后置5000万悬停自拍智能手机,华为,3199,9999
6921552263767367954,畅玩70 Plus 大屏 大电池 AI一键直达 5G手机,荣耀,1398,1399
6921776803316639878, Turbo 6V 9000mAh 冰川电池满级防水手机,一加,1899,
6921101438174565648,Redmi红米Note14手机【蓝牙耳机套餐】索尼大光圈相机,小米,989,1299
6921753780623501266,飞利浦智能手机旗舰八核超薄百元学生手机大屏长续航老年人备用机,PHILIPS,379,419
6921365423826074821,Y300t【新款上市】6500mAh 超薄蓝海电池5G手机,vivo,1116,1199
6921488682011982730,Pocket 2 优享版 超平整超可靠全焦段XMAGE四摄折叠屏鸿蒙手机,华为,3429,5499
6921562535452185225,A3i 5G超硬核抗摔架构45W超级闪充学生智能拍照老人机,OPPO,799,
6921723658138027974,Ace6T第五代骁龙8 165Hz 超高刷电竞屏手机,一加,3899,
6921094105882209436,Redmi Note 14OLED直屏索尼大光圈相机红米,小米,859,1299
6921101438174622992,Redmi红米Note14手机【蓝牙耳机套餐】索尼大光圈相机,小米,989,1299
6921588480407920965,Y500 新品上市 续航8200mAh 耐用更强大 5G手机,vivo,1816,1999
6921588480407925061,Y500 新品上市 续航8200mAh 耐用更强大 5G手机,vivo,1496,1599
6921627499909642827,17Pro妙享背屏徕卡光影大师浮动潜望长焦,小米,5298,5299
6921365423826025669,Y300t【新款上市】6500mAh 超薄蓝海电池5G手机,vivo,1406,1499
6921365357651998606,Y300t 6500mAh大电池天玑7300手机2025新款,vivo,1406,1499
6921649490449072837,X300 Pro 新品上市天玑9500 闪充 拍照 5G手机,vivo,6396,6699
6921627499909597771,17Pro妙享背屏徕卡光影大师浮动潜望长焦,小米,5598,5599
6921706029162423562,畅享 70X 尊享版 华为巨鲸长续航麒麟8000芯片鸿蒙手机,华为,1569,1999
6921649490448908997,X300 Pro 新品上市天玑9500 闪充 拍照 5G手机,vivo,4996,5299
6920649153960194960,Redmi红米Note13 Pro【蓝牙耳机套餐】2亿像素,小米,1189,1799
6921702886456739082,Mate 80 超可靠玄武架构鸿蒙AI直屏鸿蒙手机,华为,4699,
6921365357652043662,Y300t 6500mAh大电池天玑7300手机2025新款,vivo,1406,1499
6921488682011986826,Pocket 2 优享版 超平整超可靠全焦段XMAGE四摄折叠屏鸿蒙手机,华为,3699,5999
6921649490449003205,X300 新品上市 6040mAh大电池 90W闪充 巨出片拍照 5G智能手机,vivo,4396,4699
6921776803316623494, Turbo 6V 9000mAh 冰川电池满级防水手机,一加,1899,
6921122125257882250,Pura 70 Pro 超聚光微距长焦 超高速风驰闪拍 旗舰手机,华为,3999,6999
6921114718857022731,Redmi Note 14OLED直屏索尼大光圈相机红米,小米,859,1299
6921659648633555914,nova 14 活力版前后双5000万超清影像7.15mm超薄智能手机,华为,1929,2199
6921823545319955849,A6i+ 7000mAh大电池 IP69满级防水 5G手机,OPPO,1373,1499
6921588665483838286,Y500 8200mAh大电池天玑7300手机2025新款,vivo,1306,1399
6921188593316287048,Neo10 Pro天玑9400大电池120W闪充新款5G手机,iQOO,2918,3199
6921864068464199434,nova 14后置多焦段质感人像鸿蒙AI100W超级快充鸿蒙智能手机,华为,2349,3199
6921377058982586442,畅享 70X活力版巨鲸超能长续航鸿蒙安全双五星超耐摔鸿蒙手机,华为,1699,1999
6921396440010289603,畅享80【华为原装6A数据线套装】鸿蒙智能手机,华为,989,1199
6921655513138134798,Find X9【旗舰手机】全焦段哈苏摄像潮汐架构性能5G手机,OPPO,4098,4398
6921588665483825998,Y500 8200mAh大电池天玑7300手机2025新款,vivo,1306,1399
6921752300876370572,真我 GT8 骁龙8至尊版x电竞独显芯片R1 智能手机,realme,3459,3599
6921430937031937418,nova 14后置多焦段质感人像鸿蒙AI100W超级快充鸿蒙智能手机,华为,2199,2999
6921552416588431560,Z10 Turbo+ 8000mAh大电池90W闪充新款手机,iQOO,2834,2999
6921561207247878085,Play10C 流畅耐用 6000mAh高能电池手机,荣耀,739,799
6921690184563364485,Y500 Pro 新品上市 2亿像素 闪充 拍照 5G智能手机,vivo,1766,1999
6921552416588517576,Z10 Turbo+ 8000mAh大电池90W闪充新款手机,iQOO,2549,2699
6921561207247869893,Play10C 流畅耐用 6000mAh高能电池手机,荣耀,739,799
6921752300876526220,真我 GT8 骁龙8至尊版x电竞独显芯片R1 智能手机,realme,3069,3199
6921723658138003398,Ace6T第五代骁龙8 165Hz 超高刷电竞屏手机,一加,3099,
6921188593316131400,Neo10 Pro天玑9400大电池120W闪充新款5G手机,iQOO,2928,3299
6921740899743006862,S50 Pro mini第五代骁龙8 40W无线闪充新款手机,vivo,3596,3999
6921406030692697736,Z10Turbo 7620mAh大电池90W闪充新款5G手机,iQOO,1949,1999
6921752300876247692,真我15T 超能小直屏 轻薄智能拍照AI手机,realme,1199,1399
6921396440010310083,畅享80【华为原装6A数据线套装】鸿蒙智能手机,华为,1189,1399
6921741047448214218,nova 15 麒麟8020芯片 多焦段红枫影像直屏鸿蒙手机,华为,2499,2699
6921398520719894533,X200s【新款上市】天玑 9400+芯片90W超快闪充5G手机,vivo,3896,4399
6921661345548434128,REDMI红米K90【小米耳机套餐】骁龙8至尊版 超声波指纹,小米,2899,
6921377058982594634,畅享 70X活力版巨鲸超能长续航鸿蒙安全双五星超耐摔鸿蒙手机,华为,1309,1699
6921122125257886346,Pura 70 Pro 超聚光微距长焦 超高速风驰闪拍 旗舰手机,华为,3999,6999
6921741047431273162,nova 15 Pro 麒麟9系芯片前后红枫影像直屏鸿蒙手机,华为,3349,3599
6921649659165985166,X300 90W闪充天玑9500大电池2025新款5G手机,vivo,4996,5299
6921752300876202636,真我15T 超能小直屏 轻薄智能拍照AI手机,realme,1199,1399
6921775816825635788,Turbo 6 电竞三芯9000mAh大电池5G游戏手机,一加,2359,2599
6921539177537461574,Ace 5至尊版天玑9400+ 100W超级闪充游戏性能手机,一加,2249,2399
6921690184580166277,Y500 Pro 新品上市 2亿像素 闪充 拍照 5G智能手机,vivo,2066,2299
6921538142727523654,13T 新品游戏新机智能拍照 正品AI小屏手机,一加,2899,3399
6921702886456747274,Mate 80 超可靠玄武架构鸿蒙AI直屏鸿蒙手机,华为,5199,
6921649659081914766,X300 90W闪充天玑9500大电池2025新款5G手机,vivo,4396,4699
6921365357652023182,Y300 Pro+新款7300mAh大电池90W闪充5G手机,vivo,1589,1999
6921805808441740235,REDMI Turbo 5 Max大电池天玑9500s,小米,2199,2499
6921655337366388498,飞利浦智能手机90Hz高刷屏八核旗舰学生手机百元老老年人手机,PHILIPS,459,499
6921706029162435850,畅享 70X 尊享版 华为巨鲸长续航麒麟8000芯片鸿蒙手机,华为,1569,1999
6921701728638121993, Reno15实况神机手机,OPPO,2699,2999
6921804945757590672,红米Turbo 5 Max手机【小米耳机套餐】天玑9500s,小米,2499,2799
6921659648633539530,nova 14 活力版前后双5000万超清影像7.15mm超薄智能手机,华为,1929,2199
6921801983053925322,nova 15 Pro 麒麟9系芯片前后红枫影像直屏鸿蒙手机,华为,3299,3499
6921740899743010958,S50 Pro mini第五代骁龙8 40W无线闪充新款手机,vivo,3596,3999
6921395970004361422,X200s天玑9400+大电池90W闪充2025新款5G手机,vivo,3896,4399
6921406030692669064,Z10Turbo Pro 120W闪充第四代骁龙8s新款手机,iQOO,2099,2199
6921559614246961801,K12s 5G 7000mAh五年长寿大电池 80W超级闪充 AI手机,OPPO,1699,1799
6921584537464349003,Note 15 pro+北斗版第四代骁龙7s红米,小米,2129,2399
6921420640471853957,  Y300 GT【新款上市】天玑 8400芯片7620mAh大电池5G手机,vivo,1676,1999
6920707338932733322,nova 12 Ultra标准版 前置6000万人像追焦双摄,华为,2149,4699
